Dam Name,Other Names,Former Names,NID ID,Other Structure ID,Federal ID,Owner Names,Owner Types,Primary Owner Type,Number of Associated Structures,Is Associated Structure?,Designer Names,Non-Federal Dam on Federal Property,Primary Purpose,Purposes,Source Agency,State or Federal Agency ID,Latitude,Longitude,State,County,City,Distance to Nearest City (Miles),River or Stream Name,Congressional District,American Indian/Alaska Native/Native Hawaiian,State Regulated Dam,State Jurisdictional Dam,State Regulatory Agency,State Permitting Authority,State Inspection Authority,State Enforcement Authority,Federally Regulated Dam,Federal Agency Owners,Federal Agency Involvement Funding,Federal Agency Involvement Design,Federal Agency Involvement Construction,Federal Agency Involvement Regulatory,Federal Agency Involvement Inspection,Federal Agency Involvement Operation,Federal Agency Involvement Other,Built Under the Authority of the Secretary of Agriculture,NRCS Watershed Dam Authorization,Primary Dam Type,Dam Types,Core Types,Foundation,Dam Height (Ft),Hydraulic Height (Ft),Structural Height (Ft),NID Height (Ft),NID Height Category,Dam Length (Ft),Volume (Cubic Yards),Year Completed,Year Completed Category,Years Modified,NID Storage (Acre-Ft),Max Storage (Acre-Ft),Normal Storage (Acre-Ft),Surface Area (Acres),Drainage Area (Sq Miles),Max Discharge (Cubic Ft/Second),Spillway Type,Spillway Width (Ft),Number of Locks,Length of Locks (ft),Lock Width (Ft),Length of Secondary Lock (Ft),Secondary Lock Width (Ft),Outlet Gate Type,Data Last Updated,Last Inspection Date,Inspection Frequency,Hazard Potential Classification,Condition Assessment,Condition Assessment Date,Operational Status,Operational Status Date,EAP Prepared,EAP Last Revision Date,Inundation Maps Added to NID?,Website URL
Carl B Setzler Dam,,,SC02682,,SC02682,THE CARL AND ELIZABETH SETZLER LIMITED FAMILY PARTNERSHIP,Private,Private,0,No,USDA NRCS,No,Irrigation,Irrigation,South Carolina,D4429,34.3301,-81.6438,South Carolina,Newberry,,,TR-GILDERS CREEK,"South Carolina, Congressional District 03",,Yes,Yes,SC DHEC,Yes,Yes,Yes,No,,,Natural Resources Conservation Service,,,,,,No,N/A,,,,,28,,,28,25-50 feet,,,1994,1990-1999,,20,20,15,3,,,,,,,,,,,9/15/2023,10/5/2017,5,Low,Poor,10/5/2017,,,Not Required,,No,https://damsafety.org/south-carolina
Brost Number 3,,,SD00150,,SD00150,HERMAN BROST,Private,Private,0,No,,No,"Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond;Recreation",South Dakota,SD00150,43.794993,-100.813323,South Dakota,Jones,NONE,0,TR-WHITE RIVER,"South Dakota, Congressional District 00",,Yes,Yes,DANR,Yes,Yes,Yes,No,,,Natural Resources Conservation Service,,,,,,No,N/A,Earth,Earth,,,25,25,25,25,25-50 feet,309,,1953,1950-1959,,35,35,27,,,1008,,,0,0,0,,,,2/25/2025,,0,Low,,,,,Not Required,,No,https://damsafety.org/south-dakota
Shepherds Pond Dam,H W Shepherd Dam,,SC01158,,SC01158,J + G SC INVESTMENTS LLCÂ ,Private,Private,0,No,,No,Recreation,Recreation,South Carolina,D1437,34.7303,-80.9944,South Carolina,Chester,,,TR-FISHING CREEK,"South Carolina, Congressional District 05",,Yes,Yes,SC DHEC,Yes,Yes,Yes,No,,,,,,,,,No,N/A,,,,,34,,,34,25-50 feet,,,1978,1970-1979,,295,295,212,20,,,,,,,,,,,9/15/2023,10/18/2017,5,Low,Poor,10/18/2017,,,Not Required,,No,https://damsafety.org/south-carolina
Lake Ashborough Dam,,,SC01461,,SC01461,ASHBOROUGH CIVIC ASSOCIATION,Private,Private,0,No,,No,Recreation,Recreation,South Carolina,D2553,32.9581,-80.1892,South Carolina,Dorchester,,,TR-ASHLEY RIVER,"South Carolina, Congressional District 01",,Yes,Yes,SC DHEC,Yes,Yes,Yes,No,,,,,,,,,No,N/A,,,,,12,,,12,Less than 25 feet,,,1965,1960-1969,,60,60,23,10,,,,,,,,,,,9/15/2023,12/7/2017,5,Low,Fair,12/7/2017,,,Not Required,,No,https://damsafety.org/south-carolina
Korn Pond Dam,W M Tisdale Dam,,SC01437,,SC01437,"WILLIAM M TISDALE JR, JANE F TISDALE, AND ELAINE TISDALE FRANK TRUSTEES",Private,Private,0,No,,No,Recreation,Recreation,South Carolina,D2059,33.8477,-80.4072,South Carolina,Sumter,,,TR-NASTY BRANCH,"South Carolina, Congressional District 05",,Yes,Yes,SC DHEC,Yes,Yes,Yes,No,,,,,,,,,No,N/A,,,,,14,,,14,Less than 25 feet,,,1960,1960-1969,,100,100,50,12,,,,,,,,,,,9/15/2023,4/20/2017,5,Low,Poor,4/20/2017,,,Not Required,,No,https://damsafety.org/south-carolina
Mountain Lake Dam,,,SC01755,,SC01755,SC DEPARTMENT OF PARKS RECREATION AND TOURISM,State,State,0,No,,No,Recreation,Recreation,South Carolina,D2854,34.9361,-82.3906,South Carolina,Greenville,,,TR-MOUNTAIN CREEK,"South Carolina, Congressional District 04",,Yes,Yes,SC DHEC,Yes,Yes,Yes,No,,,,,,,,,No,N/A,,,,,40,,,40,25-50 feet,,,1889,Before 1900,,53,53,46,4,,,,,,,,,,,9/11/2024,12/20/2023,2,High,Fair,12/20/2023,,,Yes,6/12/2019,No,https://damsafety.org/south-carolina
Huel Bailey Dam,,,SC01342,,SC01342,DEBBIE GLOVER,Private,Private,0,No,,No,Recreation,Recreation,South Carolina,D1775,34.5888,-80.5988,South Carolina,Lancaster,,,TR-HORTON CREEK,"South Carolina, Congressional District 05",,Yes,Yes,SC DHEC,Yes,Yes,Yes,No,,,,,,,,,No,N/A,,,,,19,,,19,Less than 25 feet,,,1965,1960-1969,,65,65,48,9,,,,,,,,,,,9/15/2023,10/17/2017,5,Low,Poor,10/17/2017,,,Not Required,,No,https://damsafety.org/south-carolina
Al Howell Pond Dam,Howell Pond Dam,,SC01953,,SC01953,DWIGHT AND VIRGINIA R HENDRICKS;JAMES DURANT,Private,Private,0,No,,No,Recreation,Recreation,South Carolina,D3525,34.2332,-80.105,South Carolina,Darlington,,,HARRIS BRANCH,"South Carolina, Congressional District 07",,Yes,Yes,SC DHEC,Yes,Yes,Yes,No,,,,,,,,,No,N/A,,,,,15,,,15,Less than 25 feet,,,1955,1950-1959,,51,51,29,11,,,,,,,,,,,9/15/2023,11/6/2017,5,Low,Poor,11/6/2017,,,Not Required,,No,https://damsafety.org/south-carolina
Bridge Pond Dam,Gridge Pond Dam,,SC01992,,SC01992,DEBORDIEU COLONY COMMUNITY ASSOCIATIONÂ ,Private,Private,0,No,,No,Recreation,Recreation,South Carolina,D3593,33.3758,-79.1567,South Carolina,Georgetown,,,DEBIDUE CREEK,"South Carolina, Congressional District 07",,Yes,Yes,SC DHEC,Yes,Yes,Yes,No,,,,,,,,,No,N/A,,,,,10,,,10,Less than 25 feet,,,1900,1900-1909,,174,174,44,21.8,,,,,,,,,,,9/15/2023,12/7/2017,5,Low,Fair,12/7/2017,,,Not Required,,No,https://damsafety.org/south-carolina
Calmont Pond Dam,,,SC01574,,SC01574,CALMONT PROP OWNERS ASSOC INC;LINDA MCBEE DUGGER,Private,Private,0,No,,No,Recreation,Recreation,South Carolina,D2672,33.7689,-81.0342,South Carolina,Calhoun,,,LITTLE SANDY RUN,"South Carolina, Congressional District 06",,Yes,Yes,SC DHEC,Yes,Yes,Yes,No,,,,,,,,,No,N/A,,,,,25,,,25,25-50 feet,,,1978,1970-1979,,520,520,320,40,,,,,,,,,,,9/15/2023,3/13/2017,5,Low,Fair,3/13/2017,,,Not Required,,No,https://damsafety.org/south-carolina
Chester Reservoir Dam,Lake Mcgregor Dam,,SC01181,,SC01181,SEVEN EAGLES INVESTMENTS LLC,Private,Private,0,No,,No,Recreation,Recreation,South Carolina,D0207,34.7097,-81.2554,South Carolina,Chester,,,SANDY RIVER,"South Carolina, Congressional District 05",,Yes,Yes,SC DHEC,Yes,Yes,Yes,No,,,,,,,,,No,N/A,,,,,40,,,40,25-50 feet,,,1928,1920-1929,,4130,4130,2130,111,,,,,,,,,,,9/11/2024,2/15/2023,2,High,Fair,2/15/2023,,,No,,No,https://damsafety.org/south-carolina
Cox/Jones Damal Jones Dam,,Al Jones Dam,SC02207,,SC02207,HERBERT W AND GAYLE J COX,Private,Private,0,No,,No,Recreation,Recreation,South Carolina,D3339,34.999,-82.1529,South Carolina,Spartanburg,,,TR-NORTH TYGER RIVER,"South Carolina, Congressional District 04",,Yes,Yes,SC DHEC,Yes,Yes,Yes,No,,,,,,,,,No,N/A,,,,,31,,,31,25-50 feet,,,1959,1950-1959,,84,84,70,7,,,,,,,,,,,9/15/2023,6/6/2017,5,Low,Poor,6/6/2017,,,Not Required,,No,https://damsafety.org/south-carolina
Fricks Pond Dam,,,SC01248,,SC01248,NAN P FRICK,Private,Private,0,No,USDA NRCS,No,Irrigation,Irrigation,South Carolina,D0842,33.8843,-81.5787,South Carolina,Saluda,,,CHINQUAPIN CREEK,"South Carolina, Congressional District 03",,Yes,Yes,SC DHEC,Yes,Yes,Yes,No,,,Natural Resources Conservation Service,,,,,,No,N/A,,,,,27,,,27,25-50 feet,,,1978,1970-1979,,157,157,116,13,,,,,,,,,,,9/15/2023,3/30/2023,2,High,Fair,3/30/2023,,,Yes,7/21/2015,No,https://damsafety.org/south-carolina
Rh Gandy Dam,,,SC02308,,SC02308,"ANGELA HARPE;WILLIAM O SPENCER JR, MARK E SPENCER AND LYNNE B SPENCER",Private,Private,0,No,,No,Recreation,Recreation,South Carolina,D3824,34.7265,-80.0325,South Carolina,Chesterfield,,,ABRAMS CREEK,"South Carolina, Congressional District 07",,Yes,Yes,SC DHEC,Yes,Yes,Yes,No,,,,,,,,,No,N/A,,,,,24,,,24,Less than 25 feet,,,,Undetermined,,66,66,50,17,,,,,,,,,,,3/12/2025,10/23/2024,2,High,Fair,11/18/2024,,,No,,No,https://damsafety.org/south-carolina
H Graham Reynolds Dam,,Scnoname 19007,SC01149,,SC01149,ROBERT CHRISTOPHER SOOS;ROBERT NEAL AND ELIZABETH SMITH,Private,Private,0,No,,No,Other,Other;Recreation,South Carolina,D0498,33.7601,-81.8431,South Carolina,Edgefield,,,TR-SHAW CREEK,"South Carolina, Congressional District 03",,Yes,Yes,SC DHEC,Yes,Yes,Yes,No,,,,,,,,,No,N/A,,,,,22,,,22,Less than 25 feet,,,1965,1960-1969,,156,156,104,15,,,,,,,,,,,9/15/2023,7/27/2017,5,Low,Fair,7/27/2017,,,Yes,6/4/1991,No,https://damsafety.org/south-carolina
Barbara Williams Dam,,,SC02455,,SC02455,BEN DAVIS,Private,Private,0,No,,No,Recreation,Recreation,South Carolina,D4193,33.5261,-80.9417,South Carolina,Orangeburg,,,TR-NORTH FORK EDISTO RIVER,"South Carolina, Congressional District 02",,Yes,Yes,SC DHEC,Yes,Yes,Yes,No,,,,,,,,,No,N/A,,,,,13,,,13,Less than 25 feet,,,,Undetermined,,54,54,40,8,,,,,,,,,,,9/15/2023,7/18/2017,5,Low,Poor,7/18/2017,,,Not Required,,No,https://damsafety.org/south-carolina
Graham Pond Dam,Virginia Graham Dam,,SC01472,,SC01472,VIRGINIA M GRAHAM ESTATE,Private,Private,0,No,,No,Recreation,Recreation,South Carolina,D2503,34.2348,-80.5041,South Carolina,Kershaw,,,TR-SWIFT CREEK,"South Carolina, Congressional District 05",,Yes,Yes,SC DHEC,Yes,Yes,Yes,No,,,,,,,,,No,N/A,,,,,16,,,16,Less than 25 feet,,,1970,1970-1979,,69,69,45,8,,,,,,,,,,,9/15/2023,4/6/2017,5,Low,Poor,4/6/2017,,,Not Required,,No,https://damsafety.org/south-carolina
Lancaster Club Lake Dam,,,TX00820,,TX00820,LANCASTER COUNTRY CLUB LAKE,Private,Private,0,No,NO DATA FOR ORIGINAL DESIGNER,No,Recreation,Recreation,Texas,TX00820,32.639793,-96.671626,Texas,Dallas,,,TR-TRINITY RIVER,"Texas, Congressional District 30",,Yes,Yes,TCEQ,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,7,7,7,7,Less than 25 feet,4500,0,1904,1900-1909,,600,600,304,0,0,0,Uncontrolled,45,,,,,,Uncontrolled2,9/10/2024,4/20/1982,,Low,Not Rated,6/18/2014,Not Applicable,5/21/2022,Not Required,,No,https://damsafety.org/texas
Sd Noname 105,,,SD00988,,SD00988,WALTER J. WITCHER,Private,Private,0,No,,No,"Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond",South Dakota,SD00988,43.96166,-102.536657,South Dakota,Pennington,NONE,0,TR-CHEYENNERIVER,"South Dakota, Congressional District 00",,Yes,Yes,DANR,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,21,21,21,21,Less than 25 feet,440,,1940,1940-1949,,126,126,68,,,1242,,,0,0,0,,,,2/25/2025,,0,Low,,,,,Not Required,,No,https://damsafety.org/south-dakota
Denmark Wastewater Treatment Pond Dam,,,SC01619,,SC01619,TOWN OF DENMARK,Local Government,Local Government,0,No,,No,Other,Other,South Carolina,D2808,33.2946,-81.1252,South Carolina,Bamberg,,,TR-LEMON CREEK,"South Carolina, Congressional District 06",,Yes,Yes,SC DHEC,Yes,Yes,Yes,No,,,,,,,,,No,N/A,,,,,14,,,14,Less than 25 feet,,,1965,1960-1969,,133,133,43,18,,,,,,,,,,,9/10/2024,8/21/2017,5,Low,Poor,8/21/2017,,,Yes,8/14/2017,No,https://damsafety.org/south-carolina
Barfield Pond Dam,,,SC01490,,SC01490,CHRISTY AND MARVIN ALLEN;WILLIAMÂ G AND BRENDA BARFIELD,Private,Private,0,No,,No,Recreation,Recreation,South Carolina,D2531,34.2814,-80.7292,South Carolina,Kershaw,,,TR-HORSE HEAD BRANCH,"South Carolina, Congressional District 05",,Yes,Yes,SC DHEC,Yes,Yes,Yes,No,,,,,,,,,No,N/A,,,,,13,,,13,Less than 25 feet,,,1963,1960-1969,,69,69,60,12,,,,,,,,,,,9/15/2023,12/18/2018,5,Low,Poor,12/18/2018,,,Yes,6/6/2019,No,https://damsafety.org/south-carolina
Hollow Creek Watershed Dam 1,,,SC02403,,SC02403,HOLLOW CREEK WATERSHED DISTRICT;JOANN WILLIAMS TRUSTEE;SCOTT WOODLANDS LLC,Private;Local Government,Private,0,No,USDA NRCS,No,Flood Risk Reduction,Flood Risk Reduction;Recreation,South Carolina,D4074,33.9697,-81.4977,South Carolina,Lexington,,,HOLLOW CREEK,"South Carolina, Congressional District 02",,Yes,Yes,SC DHEC,Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566),,,,,44,,,44,25-50 feet,,,1986,1980-1989,,1450,1450,351,57,,,,,,,,,,,9/15/2023,3/30/2017,5,Low,Fair,3/30/2017,,,Not Required,,No,https://damsafety.org/south-carolina
Joe Daves Dam,,,SC02842,,SC02842,J&A HOLDINGS LLC,Private,Private,0,No,,No,"Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond",South Carolina,D4600,34.9394,-81.1917,South Carolina,York,,,TR-FISHING CREEK,"South Carolina, Congressional District 05",,Yes,Yes,SC DHEC,Yes,Yes,Yes,No,,,,,,,,,No,N/A,,,,,16,,,16,Less than 25 feet,,,,Undetermined,,650,650,226,35,,,,,,,,,,,9/15/2023,1/26/2023,2,High,Fair,1/26/2023,,,Yes,2/24/2011,No,https://damsafety.org/south-carolina
Mcmillen Lower Pond Dam,Laverne Mcmillan Dam 2,,SC01811,,SC01811,LAVERNE A MCMILLAN EST,Private,Private,0,No,,No,Recreation,Recreation,South Carolina,D0515,34.1745,-79.2393,South Carolina,Marion,,,TR-BROWN SWAMP,"South Carolina, Congressional District 07",,Yes,Yes,SC DHEC,Yes,Yes,Yes,No,,,,,,,,,No,N/A,,,,,14,,,14,Less than 25 feet,,,1970,1970-1979,,67,67,35,8,,,,,,,,,,,9/15/2023,11/16/2017,5,Low,Poor,11/16/2017,,,Not Required,,No,https://damsafety.org/south-carolina
Dinkins Millpond Dam,,,SC01405,,SC01405,DINKINS MILL LLC,Private,Private,0,No,,No,Recreation,Recreation,South Carolina,D1461,34.0402,-80.5342,South Carolina,Sumter,,,LITTLE RAFTING CREEK,"South Carolina, Congressional District 05",,Yes,Yes,SC DHEC,Yes,Yes,Yes,No,,,,,,,,,No,N/A,,,,,14,,,14,Less than 25 feet,,,1800,Before 1900,,600,600,120,50,,,,,,,,,,,9/11/2024,4/18/2024,2,High,Fair,4/18/2024,,,Yes,11/3/2008,No,https://damsafety.org/south-carolina
Wildes Pond Dam,Imbeau Pond Dam,,SC01938,,SC01938,WILD WIND FARM LLP,Private,Private,0,No,,No,Irrigation,Irrigation;Recreation,South Carolina,D3524,34.2613,-80.0043,South Carolina,Darlington,,,TR-JEFFRIES CREEK,"South Carolina, Congressional District 07",,Yes,Yes,SC DHEC,Yes,Yes,Yes,No,,,,,,,,,No,N/A,,,,,12,,,12,Less than 25 feet,,,1969,1960-1969,,53,53,27,7,,,,,,,,,,,9/15/2023,11/10/2017,5,Low,Poor,11/10/2017,,,Not Required,,No,https://damsafety.org/south-carolina
Loyds Pond Dam,Loyd'S INC Dam,,SC01396,,SC01396,LOYD'S INC,Private,Private,0,No,,No,Recreation,Recreation,South Carolina,D1934,34.8347,-82.5619,South Carolina,Pickens,,,TR-HAMILTON CREEK,"South Carolina, Congressional District 03",,Yes,Yes,SC DHEC,Yes,Yes,Yes,No,,,,,,,,,No,N/A,,,,,41,,,41,25-50 feet,,,1972,1970-1979,,280,280,148,12,,,,,,,,,,,9/15/2023,10/12/2022,2,High,Not Rated,10/12/2022,,,No,,No,https://damsafety.org/south-carolina
Brad Webster Dam,,,SC02732,,SC02732,BE WEBSTER JR;BRADFORD WEBSTER JR AND DOROTHY WEBSTER,Private,Private,0,No,,No,Fish and Wildlife Pond,Fish and Wildlife Pond,South Carolina,D4478,34.8509,-82.0486,South Carolina,Spartanburg,,,TR-SOUTH TYGER RIVER,"South Carolina, Congressional District 04",,Yes,Yes,SC DHEC,Yes,Yes,Yes,No,,,,,,,,,No,N/A,,,,,32,,,32,25-50 feet,,,1994,1990-1999,,80.5,80.5,50,6,,,,,,,,,,,9/15/2023,6/13/2017,5,Low,Fair,6/13/2017,,,Not Required,,No,https://damsafety.org/south-carolina
Whetstone Pond Dam,,,SC01612,,SC01612,KATHY W STOWE TRUSTEE,Private,Private,0,No,,No,Recreation,Recreation,South Carolina,D2686,33.617,-80.7289,South Carolina,Calhoun,,,TR-FLEA BITE CREEK,"South Carolina, Congressional District 06",,Yes,Yes,SC DHEC,Yes,Yes,Yes,No,,,,,,,,,No,N/A,,,,,17,,,17,Less than 25 feet,,,1961,1960-1969,,86,86,56,10,,,,,,,,,,,9/11/2024,3/12/2024,2,High,Fair,3/12/2024,,,No,,No,https://damsafety.org/south-carolina
Richard Waddell,,,SD00587,,SD00587,RICHARD WADDELL,Private,Private,0,No,,No,"Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond",South Dakota,SD00587,45.759993,-101.896657,South Dakota,Corson,BULLHEAD,41,TR-COTTONWOOD CREEK,"South Dakota, Congressional District 00",Standing Rock Reservation,Yes,Yes,DANR,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,30,30,30,30,25-50 feet,494,,1948,1940-1949,,240,240,104,,,4312,,,0,0,0,,,,2/25/2025,,0,Low,,,,,Not Required,,No,https://damsafety.org/south-dakota
Hughes Lake Dam,,,TX00051,,TX00051,HENRY HUGHES,Private,Private,0,No,NO DATA FOR ORIGINAL DESIGNER,No,Recreation,"Recreation;Fire Protection, Stock, Or Small Fish Pond",Texas,TX00051,30.219175,-96.229654,Texas,Washington,,,TR-NEW YEAR CREEK,"Texas, Congressional District 10",,Yes,Yes,TCEQ,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,20,20,20,20,Less than 25 feet,0,0,1955,1950-1959,,700,700,260,0,0,,None,,,,,,,None1,9/10/2024,,,Low,Not Rated,6/18/2014,Not Applicable,5/21/2022,Not Required,,No,https://damsafety.org/texas
Estes Farms Dam,,Scnoname 20008,SC01207,,SC01207,ESTES FARMS LLC,Private,Private,0,No,,No,Recreation,Recreation,South Carolina,D0525,34.2903,-81.1495,South Carolina,Fairfield,,,TR-MORRIS CREEK,"South Carolina, Congressional District 05",,Yes,Yes,SC DHEC,Yes,Yes,Yes,No,,,,,,,,,No,N/A,,,,,27,,,27,25-50 feet,,,1947,1940-1949,,154,154,112,14,,,,,,,,,,,9/15/2023,4/21/2017,5,Low,Poor,4/21/2017,,,Not Required,,No,https://damsafety.org/south-carolina
Process Pond Dam,W R Grace Dam 2,,SC02035,,SC02035,VERMICULITE SPECIALTY LLC,Private,Private,0,No,,No,Water Supply,Water Supply,South Carolina,D2979,34.616,-81.9897,South Carolina,Laurens,,,WARRIOR CREEK OFFSTREAM,"South Carolina, Congressional District 03",,Yes,Yes,SC DHEC,Yes,Yes,Yes,No,,,,,,,,,No,N/A,,,,,31,,,31,25-50 feet,,,1971,1970-1979,,146,146,116,10,,,,,,,,,,,9/15/2023,9/21/2017,5,Low,Poor,9/21/2017,,,Not Required,,No,https://damsafety.org/south-carolina
Mathew Lake Dam,,,TX00835,,TX00835,CHARLES MAYHEW,Private,Private,0,No,USDA NRCS,No,Recreation,"Recreation;Fire Protection, Stock, Or Small Fish Pond",Texas,TX00835,32.801441,-96.543981,Texas,Dallas,,,TR-DUCK CREEK,"Texas, Congressional District 05",,Yes,Yes,TCEQ,Yes,Yes,Yes,No,,,Natural Resources Conservation Service,,,,,,No,N/A,Earth,Earth,,,33,33,33,33,25-50 feet,748,25000,1960,1960-1969,,209,209,119,12,0,,None,,,,,,,None1,9/10/2024,,,Low,Not Rated,6/18/2014,Not Applicable,5/21/2022,Not Required,,No,https://damsafety.org/texas
Union Water Works Dam,,,SC01515,,SC01515,CITY OF UNION,Local Government,Local Government,0,No,,No,Water Supply,Water Supply,South Carolina,D2154,34.7272,-81.615,South Carolina,Union,,,TR-MENG CREEK,"South Carolina, Congressional District 05",,Yes,Yes,SC DHEC,Yes,Yes,Yes,No,,,,,,,,,No,N/A,,,,,22,,,22,Less than 25 feet,,,1962,1960-1969,,67,67,40,7,,,,,,,,,,,9/11/2024,6/11/2024,2,High,Fair,6/11/2024,,,Yes,6/11/2019,No,https://damsafety.org/south-carolina
Upper East Fk Laterals WS SCS Site 3g Dam,,,TX00808,,TX00808,KAUFMAN VAN ZANDT ROCKWALL SWCD;ROCKWALL COUNTY,Local Government,Local Government,0,No,USDA NRCS,No,Flood Risk Reduction,"Flood Risk Reduction;Fire Protection, Stock, Or Small Fish Pond;Recreation",Texas,TX00808,32.935048,-96.412291,Texas,Rockwall,,,CAMP CREEK,"Texas, Congressional District 04",,Yes,Yes,TCEQ,Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,Flood Control Act of 1944 (Public Law 78-534),Earth,Earth,Unlisted/Unknown;Unlisted/Unknown,Rock;Soil,25,25,25,25,25-50 feet,1365,0,1959,1950-1959,,515,515,86,19,0.81,2,Uncontrolled,63,,,,,,Slide (sluice gate)1;Uncontrolled2,9/10/2024,1/19/2023,5,High,Fair,4/25/2023,Normal Operations,4/25/2023,Yes,2/1/2017,No,https://damsafety.org/texas
Union County Pond Dam,,,SC01512,,SC01512,UNION COUNTY,Local Government,Local Government,0,No,,No,Recreation,Recreation,South Carolina,D2151,34.7609,-81.6387,South Carolina,Union,,,TR-BUFFALO CREEK,"South Carolina, Congressional District 05",,Yes,Yes,SC DHEC,Yes,Yes,Yes,No,,,,,,,,,No,N/A,,,,,29,,,29,25-50 feet,,,1963,1960-1969,,50,50,39,3,,,,,,,,,,,9/15/2023,9/20/2017,5,Low,Poor,9/20/2017,,,Not Required,,No,https://damsafety.org/south-carolina
Lb Davidson Pond Dam,Hugh Mcdowell Dam,,SC02246,,SC02246,HUGH AND SARA MCDOWELL CO-TRUSTEES;VIRGINIA STACEY,Private,Private,0,No,,No,"Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond;Recreation",South Carolina,D3321,35.1412,-81.9703,South Carolina,Spartanburg,,,TR-PACOLET RIVER,"South Carolina, Congressional District 05",,Yes,Yes,SC DHEC,Yes,Yes,Yes,No,,,,,,,,,No,N/A,,,,,15,,,15,Less than 25 feet,,,1964,1960-1969,,50,50,38,6,,,,,,,,,,,9/15/2023,5/25/2017,5,Low,Poor,5/25/2017,,,Not Required,,No,https://damsafety.org/south-carolina
Watson Pond Dam,,,SC01830,,SC01830,WILDERNESS POINT LLC,Private,Private,0,No,USDA NRCS,No,"Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond",South Carolina,D3129,34.3551,-82.5919,South Carolina,Anderson,,,TR-GOVERNORS CREEK,"South Carolina, Congressional District 03",,Yes,Yes,SC DHEC,Yes,Yes,Yes,No,,,Natural Resources Conservation Service,,,,,,No,N/A,,,,,25,,,25,25-50 feet,,,1954,1950-1959,,83,83,65,6,,,,,,,,,,,9/15/2023,8/5/2021,5,Low,Fair,8/5/2021,,,Yes,5/11/2016,No,https://damsafety.org/south-carolina
William Jeffords Dam,,,SC02759,,SC02759,BAXTER M WYNN TRUSTEE;JOHN D AND LINDA J GILDEN;PAULA J WYNN TRUSTEE;SUSAN J JEFFORDS TRUSTEE;WILLIAM L JEFFORDS JR TRUSTEE,Private,Private,0,No,,No,"Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond",South Carolina,D4502,34.7942,-82.0034,South Carolina,Spartanburg,,,TR-SOUTH TYGER RIVER,"South Carolina, Congressional District 04",,Yes,Yes,SC DHEC,Yes,Yes,Yes,No,,,,,,,,,No,N/A,,,,,22,,,22,Less than 25 feet,,,1998,1990-1999,,90,90,70.2,8,,,,,,,,,,,9/15/2023,6/15/2017,5,Low,Poor,6/15/2017,,,Not Required,,No,https://damsafety.org/south-carolina
Daves Pond Dam,,,SC02755,,SC02755,NANCY C DAVES,Private,Private,0,No,,No,Recreation,Recreation,South Carolina,D4499,34.933,-81.4659,South Carolina,York,,,TR-BROAD RIVER,"South Carolina, Congressional District 05",,Yes,Yes,SC DHEC,Yes,Yes,Yes,No,,,,,,,,,No,N/A,,,,,58,,,58,51-100 feet,,,1998,1990-1999,,300,300,224,10,,,,,,,,,,,9/15/2023,9/5/2017,5,Low,Unsatisfactory,9/5/2017,,,Not Required,,No,https://damsafety.org/south-carolina
Daum Bros. Number 3,,,SD00144,,SD00144,DAUM BROS.,Private,Private,0,No,,No,"Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond;Recreation",South Dakota,SD00144,43.853326,-100.96499,South Dakota,Jones,NONE,0,TR-WHITE RIVER,"South Dakota, Congressional District 00",,Yes,Yes,DANR,Yes,Yes,Yes,No,,,Natural Resources Conservation Service,,,,,,No,N/A,Earth,Earth,,,31,31,31,31,25-50 feet,405,,1958,1950-1959,,26,26,18,,,1575,,,0,0,0,,,,2/25/2025,,0,Low,,,,,Not Required,,No,https://damsafety.org/south-dakota
